event_id,signal_date,code,board_streak_before_break,board_group,d2_date,d3_date,label_available_date,target7,loss,severe_loss_5,raw_repair_return,capped_return_7
603045_2026-06-03,2026-06-03,603045,2,BOARD2,2026-06-04,2026-06-05,2026-06-05,1,0,0,0.154815115807,0.07
000700_2026-06-04,2026-06-04,000700,2,BOARD2,2026-06-05,2026-06-08,2026-06-08,0,1,1,-0.0651340996169,-0.0651340996169
002137_2026-06-04,2026-06-04,002137,2,BOARD2,2026-06-05,2026-06-08,2026-06-08,0,0,0,0.0068359375,0.0068359375
600121_2026-06-04,2026-06-04,600121,3,BOARD3,2026-06-05,2026-06-08,2026-06-08,0,1,0,-0.00709219858156,-0.00709219858156
600487_2026-06-04,2026-06-04,600487,2,BOARD2,2026-06-05,2026-06-08,2026-06-08,0,0,0,0.0659375,0.0659375
600936_2026-06-04,2026-06-04,600936,2,BOARD2,2026-06-05,2026-06-08,2026-06-08,0,1,0,-0.0455284552846,-0.0455284552846
603311_2026-06-04,2026-06-04,603311,2,BOARD2,2026-06-05,2026-06-08,2026-06-08,0,0,0,0.0277923439958,0.0277923439958
001896_2026-06-05,2026-06-05,001896,2,BOARD2,2026-06-08,2026-06-09,2026-06-09,1,0,0,0.0850528434826,0.07
002787_2026-06-05,2026-06-05,002787,2,BOARD2,2026-06-08,2026-06-09,2026-06-09,0,0,0,0.0670498084291,0.0670498084291
600255_2026-06-05,2026-06-05,600255,3,BOARD3,2026-06-08,2026-06-09,2026-06-09,1,0,0,0.0896551724138,0.07
600439_2026-06-05,2026-06-05,600439,2,BOARD2,2026-06-08,2026-06-09,2026-06-09,0,1,0,-0.0113636363636,-0.0113636363636
600688_2026-06-05,2026-06-05,600688,2,BOARD2,2026-06-08,2026-06-09,2026-06-09,0,0,0,0.00302114803625,0.00302114803625
605162_2026-06-05,2026-06-05,605162,2,BOARD2,2026-06-08,2026-06-09,2026-06-09,0,1,0,-0.0449915110357,-0.0449915110357
000520_2026-06-08,2026-06-08,000520,2,BOARD2,2026-06-09,2026-06-10,2026-06-10,0,1,0,-0.0109409190372,-0.0109409190372
003036_2026-06-08,2026-06-08,003036,2,BOARD2,2026-06-09,2026-06-10,2026-06-10,0,0,0,0.0681933842239,0.0681933842239
600293_2026-06-08,2026-06-08,600293,2,BOARD2,2026-06-09,2026-06-10,2026-06-10,0,1,0,-0.0172839506173,-0.0172839506173
000068_2026-06-09,2026-06-09,000068,2,BOARD2,2026-06-10,2026-06-11,2026-06-11,0,1,1,-0.0503978779841,-0.0503978779841
000517_2026-06-09,2026-06-09,000517,2,BOARD2,2026-06-10,2026-06-11,2026-06-11,0,0,0,0.0147783251232,0.0147783251232
000759_2026-06-09,2026-06-09,000759,2,BOARD2,2026-06-10,2026-06-11,2026-06-11,0,0,0,0.00649350649351,0.00649350649351
002361_2026-06-09,2026-06-09,002361,2,BOARD2,2026-06-10,2026-06-11,2026-06-11,0,0,0,0.047323943662,0.047323943662
002421_2026-06-09,2026-06-09,002421,2,BOARD2,2026-06-10,2026-06-11,2026-06-11,0,1,1,-0.142105263158,-0.142105263158
002613_2026-06-09,2026-06-09,002613,2,BOARD2,2026-06-10,2026-06-11,2026-06-11,0,1,0,-0.013698630137,-0.013698630137
003009_2026-06-09,2026-06-09,003009,2,BOARD2,2026-06-10,2026-06-11,2026-06-11,0,1,0,-0.0131004366812,-0.0131004366812
603500_2026-06-09,2026-06-09,603500,3,BOARD3,2026-06-10,2026-06-11,2026-06-11,1,0,0,0.0936270653029,0.07
603859_2026-06-09,2026-06-09,603859,2,BOARD2,2026-06-10,2026-06-11,2026-06-11,0,0,0,0.0640412922959,0.0640412922959
001696_2026-06-10,2026-06-10,001696,2,BOARD2,2026-06-11,2026-06-12,2026-06-12,1,0,0,0.202105263158,0.07
002254_2026-06-10,2026-06-10,002254,3,BOARD3,2026-06-11,2026-06-12,2026-06-12,1,0,0,0.0754173862982,0.07
002362_2026-06-10,2026-06-10,002362,2,BOARD2,2026-06-11,2026-06-12,2026-06-12,0,1,0,-0.0082219938335,-0.0082219938335
002747_2026-06-10,2026-06-10,002747,2,BOARD2,2026-06-11,2026-06-12,2026-06-12,0,0,0,0.0194285714286,0.0194285714286
603186_2026-06-10,2026-06-10,603186,2,BOARD2,2026-06-11,2026-06-12,2026-06-12,1,0,0,0.12896813445,0.07
603616_2026-06-10,2026-06-10,603616,2,BOARD2,2026-06-11,2026-06-12,2026-06-12,0,0,0,0.0160583941606,0.0160583941606
603929_2026-06-10,2026-06-10,603929,2,BOARD2,2026-06-11,2026-06-12,2026-06-12,1,0,0,0.0850540374308,0.07
000029_2026-06-11,2026-06-11,000029,2,BOARD2,2026-06-12,2026-06-15,2026-06-15,0,0,0,0.0117970900511,0.0117970900511
002585_2026-06-11,2026-06-11,002585,2,BOARD2,2026-06-12,2026-06-15,2026-06-15,0,0,0,0.0257648953301,0.0257648953301
002636_2026-06-11,2026-06-11,002636,3,BOARD3,2026-06-12,2026-06-15,2026-06-15,1,0,0,0.0890098899878,0.07
002669_2026-06-11,2026-06-11,002669,2,BOARD2,2026-06-12,2026-06-15,2026-06-15,0,1,0,-0.00120481927711,-0.00120481927711
