event_id,signal_date,code,candidate_count,label_available_date,stage1_score,stage1_rank,stage1_top10,stage1_strength,closing_completion_gap,strength_x_gap,original_stage1_top3,risk_p_loss,risk_veto,final_limited_risk_rank,target7,loss_target,raw_repair_return,capped_opportunity_return_7
002687_2026-06-25,2026-06-25,002687,9,2026-06-29,0.538391416489,9,True,0,0.861111111111,0,False,,False,9,1,0,0.134703196347,0.07
603989_2026-06-26,2026-06-26,603989,12,2026-06-30,0.594136598484,1,True,1,0.4,0.4,True,0.224228781402,False,1,0,1,-0.0419642857143,-0.0419642857143
002990_2026-06-26,2026-06-26,002990,12,2026-06-30,0.587470412947,2,True,0.909090909091,0.4,0.363636363636,True,0.224668050686,False,2,1,0,0.086383601757,0.07
600667_2026-06-26,2026-06-26,600667,12,2026-06-30,0.578921950821,3,True,0.818181818182,0.65,0.531818181818,True,0.223046317522,False,3,0,0,0.0668103448276,0.0668103448276
002080_2026-06-26,2026-06-26,002080,12,2026-06-30,0.57749649108,4,True,0.727272727273,0.675,0.490909090909,False,,False,4,0,1,-0.0525252525253,-0.0525252525253
600141_2026-06-26,2026-06-26,600141,12,2026-06-30,0.576158976892,5,True,0.636363636364,0.425,0.270454545455,False,,False,5,0,1,-0.0441767068273,-0.0441767068273
603678_2026-06-26,2026-06-26,603678,12,2026-06-30,0.575196614348,6,True,0.545454545455,0.05,0.0272727272727,False,,False,6,0,0,0.0416001963431,0.0416001963431
600584_2026-06-26,2026-06-26,600584,12,2026-06-30,0.571023638358,7,True,0.454545454545,0.925,0.420454545455,False,,False,7,0,0,0.0200970873786,0.0200970873786
603929_2026-06-26,2026-06-26,603929,12,2026-06-30,0.567444124227,8,True,0.363636363636,0.45,0.163636363636,False,,False,8,0,0,0.0476785648642,0.0476785648642
002025_2026-06-26,2026-06-26,002025,12,2026-06-30,0.558912536272,9,True,0.272727272727,0.4,0.109090909091,False,,False,9,1,0,0.0701369863014,0.07
603713_2026-06-26,2026-06-26,603713,12,2026-06-30,0.556961989121,10,True,0.181818181818,0.375,0.0681818181818,False,,False,10,0,1,-0.0293809024134,-0.0293809024134
000818_2026-06-26,2026-06-26,000818,12,2026-06-30,0.550765435309,11,False,0.0909090909091,,,False,,False,11,1,0,0.0779510022272,0.07
002254_2026-06-26,2026-06-26,002254,12,2026-06-30,0.538262782847,12,False,0,,,False,,False,12,0,1,-0.025974025974,-0.025974025974
