event_id,code,signal_date,break_date,stage_group,days_since_break,exclusion_reason
002568_2026-06-30,002568,2026-07-01,2026-06-30,post,1,not_d1_first_break_observation
600228_2026-06-29,600228,2026-07-01,2026-06-29,post,2,not_d1_first_break_observation
600962_2026-06-29,600962,2026-07-01,2026-06-29,post,2,not_d1_first_break_observation
601133_2026-06-30,601133,2026-07-01,2026-06-30,post,1,not_d1_first_break_observation
603155_2026-06-30,603155,2026-07-01,2026-06-30,post,1,not_d1_first_break_observation
603163_2026-06-30,603163,2026-07-01,2026-06-30,post,1,not_d1_first_break_observation
603650_2026-06-30,603650,2026-07-01,2026-06-30,post,1,not_d1_first_break_observation
603956_2026-06-30,603956,2026-07-01,2026-06-30,post,1,not_d1_first_break_observation
000017_2026-07-01,000017,2026-07-02,2026-07-01,post,1,not_d1_first_break_observation
001229_2026-07-01,001229,2026-07-02,2026-07-01,post,1,not_d1_first_break_observation
002180_2026-06-30,002180,2026-07-02,2026-06-30,post,2,not_d1_first_break_observation
002208_2026-07-01,002208,2026-07-02,2026-07-01,post,1,not_d1_first_break_observation
002568_2026-06-30,002568,2026-07-02,2026-06-30,post,2,not_d1_first_break_observation
