event_id,signal_date,code,candidate_count,stage1_rank,stage1_strength,stage1_top10,closing_completion_gap,strength_x_gap,binary_pair_score,binary_pair_rank,capped_pair_score,capped_pair_rank,raw_pair_score,raw_pair_rank,target7,raw_return,capped_return_7
603002_2026-06-18,2026-06-18,603002,15,4,0.785714285714,True,0.4,0.314285714286,0.248010400055,4,0.0163544749818,6,0.016091059601,4,1,0.117920540997,0.07
002080_2026-06-18,2026-06-18,002080,15,5,0.714285714286,True,0.425,0.303571428571,0.235797909447,5,0.0159219159551,8,0.0153862135166,6,0,0.0197681513118,0.0197681513118
603115_2026-06-18,2026-06-18,603115,15,6,0.642857142857,True,0.875,0.5625,0.307995629326,1,0.0200719477925,1,0.022627813701,1,0,0.0322945682451,0.0322945682451
600186_2026-06-18,2026-06-18,600186,15,7,0.571428571429,True,0.775,0.442857142857,0.268351233889,3,0.0188433133993,3,0.0190385066725,3,0,0.0350515463918,0.0350515463918
000679_2026-06-18,2026-06-18,000679,15,8,0.5,True,0.45,0.225,0.187936377366,9,0.0143590267317,9,0.0120651044759,8,0,0.0197889182058,0.0197889182058
000777_2026-06-18,2026-06-18,000777,15,9,0.428571428571,True,0.8,0.342857142857,0.233445317512,6,0.0188766880889,2,0.0160027924226,5,0,0.0143464399575,0.0143464399575
603773_2026-06-18,2026-06-18,603773,15,10,0.357142857143,True,0.325,0.116071428571,0.130823766265,10,0.011168693589,10,0.00781805780527,10,0,0.0675738274464,0.0675738274464
601636_2026-06-18,2026-06-18,601636,15,11,0.285714285714,False,,,,,,,,,0,0.0048309178744,0.0048309178744
002484_2026-06-18,2026-06-18,002484,15,12,0.214285714286,False,,,,,,,,,0,-0.0501659904094,-0.0501659904094
600192_2026-06-18,2026-06-18,600192,15,13,0.142857142857,False,,,,,,,,,0,0.00126742712294,0.00126742712294
600615_2026-06-18,2026-06-18,600615,15,14,0.0714285714286,False,,,,,,,,,0,-0.00570342205323,-0.00570342205323
600707_2026-06-18,2026-06-18,600707,15,15,0,False,,,,,,,,,1,0.109845402766,0.07
001339_2026-06-22,2026-06-22,001339,7,1,1,True,0.214285714286,0.214285714286,0.253938918658,2,0.0164822906824,2,0.0135825583705,3,0,0.0626988437961,0.0626988437961
002989_2026-06-22,2026-06-22,002989,7,2,0.833333333333,True,0.142857142857,0.119047619048,0.201579278786,4,0.0140337965814,5,0.0100081143267,4,0,0.0214190093708,0.0214190093708
002491_2026-06-22,2026-06-22,002491,7,3,0.666666666667,True,0.464285714286,0.309523809524,0.227492708049,3,0.014964230155,3,0.014016181481,2,1,0.0711188204683,0.07
002141_2026-06-22,2026-06-22,002141,7,4,0.5,True,0.892857142857,0.446428571429,0.263305869779,1,0.0191902586545,1,0.0176568558625,1,1,0.0746268656716,0.07
002579_2026-06-22,2026-06-22,002579,7,5,0.333333333333,True,0.5,0.166666666667,0.151191539849,5,0.0130881326456,6,0.00879054265759,5,0,-0.0383309073265,-0.0383309073265
603261_2026-06-22,2026-06-22,603261,7,6,0.166666666667,True,0.357142857143,0.0595238095238,0.0880864931379,7,0.00930232048409,7,0.00457908954561,6,1,0.193737328227,0.07
