factor,target,universe,quantile,count,factor_min,factor_max,factor_mean,target_mean,target_median,target_p25,target_p75,target7_rate,target10_rate,loss_rate,opportunity7_rate,primary_close_mean,opportunity_max_mean
low_absorb_width_pct,all_primary_d3_close,all_candidates,3,108,3.439,4.2048,3.8602,-1.114,-2.2022,-6.0442,3.2107,0.1111,0.0648,0.4815,0.3796,-1.114,5.3815
low_absorb_width_pct,all_primary_d3_close,all_candidates,4,107,4.2107,4.765,4.4853,-2.0384,-3.7736,-7.0539,2.8435,0.1121,0.0841,0.5514,0.271,-2.0384,4.2932
low_absorb_width_pct,all_primary_d3_close,all_candidates,5,108,4.7656,6.3741,5.1478,-3.1528,-3.7631,-6.8935,-0.4967,0.0556,0.0278,0.5648,0.1852,-3.1528,3.8946
low_absorb_width_pct,executed_realized_d3,executed_only,1,14,0.1434,3.1401,2.5401,0.4299,1.6705,-2.9118,6.1796,0.2857,0.0,0.2857,0.2857,-2.2411,3.5667
low_absorb_width_pct,executed_realized_d3,executed_only,2,13,3.1454,3.8683,3.4865,-0.5441,-1.9323,-4.195,1.2912,0.2308,0.0,0.3077,0.3846,-1.289,4.338
low_absorb_width_pct,executed_realized_d3,executed_only,3,13,3.9286,4.4295,4.167,-1.9037,-3.0904,-5.1988,2.3279,0.1538,0.0,0.5385,0.0769,-3.2903,2.4963
low_absorb_width_pct,executed_realized_d3,executed_only,4,13,4.481,4.7877,4.5852,-2.8499,-2.0033,-6.1503,0.2023,0.0769,0.0,0.4615,0.0,-4.3549,2.0837
low_absorb_width_pct,executed_realized_d3,executed_only,5,13,4.8058,6.3741,5.1804,-2.4688,-2.4041,-5.1003,1.0558,0.0769,0.0,0.3846,0.0769,-3.8183,2.1478
support_score,all_opportunity_d3_max,all_candidates,1,108,0.0,41.0,18.5,3.5784,2.0389,0.555,5.737,0.1944,0.1111,0.0093,0.1944,-3.3378,3.5784
support_score,all_opportunity_d3_max,all_candidates,2,107,43.0,69.0,56.5327,4.1166,2.5,0.4896,7.3886,0.2804,0.0935,0.0187,0.2804,-2.4166,4.1166
support_score,all_opportunity_d3_max,all_candidates,3,108,69.0,89.0,82.9259,4.692,3.4292,0.9348,7.5127,0.2778,0.1111,0.0,0.2778,-2.3781,4.692
support_score,all_opportunity_d3_max,all_candidates,4,107,89.0,91.0,90.3084,6.9005,5.8609,2.5396,10.0008,0.4579,0.2523,0.0,0.4579,0.1824,6.9005
support_score,all_opportunity_d3_max,all_candidates,5,108,91.0,91.0,91.0,4.2785,3.8831,0.9956,7.214,0.2593,0.0833,0.0,0.2593,-1.2291,4.2785
support_score,all_primary_d3_close,all_candidates,1,108,0.0,41.0,18.5,-3.3378,-4.8074,-6.8935,-0.4967,0.0833,0.0463,0.6574,0.1944,-3.3378,3.5784
support_score,all_primary_d3_close,all_candidates,2,107,43.0,69.0,56.5327,-2.4166,-4.0896,-7.7433,1.0229,0.1215,0.0561,0.5888,0.2804,-2.4166,4.1166
support_score,all_primary_d3_close,all_candidates,3,108,69.0,89.0,82.9259,-2.3781,-3.5796,-6.7287,2.1402,0.0741,0.0556,0.5648,0.2778,-2.3781,4.692
support_score,all_primary_d3_close,all_candidates,4,107,89.0,91.0,90.3084,0.1824,0.466,-6.7673,5.7148,0.2056,0.1308,0.3832,0.4579,0.1824,6.9005
support_score,all_primary_d3_close,all_candidates,5,108,91.0,91.0,91.0,-1.2291,-1.6189,-5.5885,2.3649,0.0926,0.0556,0.3796,0.2593,-1.2291,4.2785
support_score,executed_realized_d3,executed_only,1,14,69.0,77.0,70.2857,-2.8726,-4.0882,-6.2582,0.5783,0.1429,0.0,0.5714,0.2857,-3.0645,2.827
support_score,executed_realized_d3,executed_only,2,13,77.0,79.0,78.6923,-1.6446,-2.0276,-5.1988,2.3279,0.1538,0.0,0.3846,0.1538,-2.4762,3.3524
support_score,executed_realized_d3,executed_only,3,13,79.0,89.0,85.4615,0.0434,-1.0503,-4.8337,7.0,0.3846,0.0,0.3846,0.3846,-2.0294,4.9525
support_score,executed_realized_d3,executed_only,4,13,89.0,91.0,90.5385,-2.6757,-2.7487,-5.6186,-1.8212,0.0769,0.0,0.4615,0.0,-5.3916,1.636
support_score,executed_realized_d3,executed_only,5,13,91.0,91.0,91.0,0.067,1.0558,-1.9323,1.5997,0.0769,0.0,0.1538,0.0,-1.9685,1.9216
